paper_id,covidence_id,title,authors,source_filename,source_text_json_path,candidate_json_path,n_pages,abstract_block_count,title_like_line_count,author_like_line_count,program_marker_count,proceedings_signal_score,proceedings_detected,trim_workflow_version,trim_workflow_stage,trim_status,trim_reason,trim_method,trim_mode,matched_block_code,matched_block_title,title_score,author_score,match_score,start_rule,end_rule,start_page_index,end_page_index,start_line_global_index,end_line_global_index_exclusive,candidate_count,baseline_candidate_id,overshoot_candidate_id,candidate_ids,candidate_heuristics,candidate_end_indices,candidate_end_pages,llm_routing_recommended,llm_routing_reason,created_at_utc
1001,1001,Inpatient physiotherapy management for Stiff Person syndrome,Kahraman T.; Balci B.; Sengun I.S.,1001_Kahraman T. et al. - 2014 - Inpatient physiotherapy management for Stiff Perso.pdf,data\extraction_json\text\1001.json,data\extraction_json\text_trimmed_llm_candidates\1001.json,524,111,492,434,2,5,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 2 ordered end candidates. Baseline candidate quality: trimmed_auto.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,PP2210,PP2210 Inpatient physiotherapy management for Stiff Person syndrome,0.9807,0.6667,0.9022,,,350,350,39064,39099,2,cand_01_tail_metadata_trim_end,cand_02_last_non_metadata_end,cand_01_tail_metadata_trim_end|cand_02_last_non_metadata_end,tail_metadata_trim_end|last_non_metadata_end,39099|39100,350|350,true,route_all_to_llm_v1,2026-04-12T22:16:51.290648+00:00
1011,1011,Two cases of stiff person syndrome treated with intrathecal baclofen pump in an inpatient rehabilitation unit: A case series,Shoval H.A.; Hamer O.; Chantasi K.; Nanda U.,1011_Shoval-2014-Two cases of stiff person syndrome.pdf,data\extraction_json\text\1011.json,data\extraction_json\text_trimmed_llm_candidates\1011.json,1,3,24,10,1,9,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 1 ordered end candidates. Baseline candidate quality: trimmed_auto.,page_local_sliding_window_match,page_local_sliding_window_match,Poster 313,Two Cases of Stiff Person Syndrome Treated with Intrathecal Baclofen Pump in an Inpatient,0.9114,1.0,0.8703,backtrack_abstract_boundary,next_abstract_boundary,0,,2,47,1,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,tail_metadata_trim_end,47,0,true,route_all_to_llm_v1,2026-04-12T22:16:51.304237+00:00
1028,1028,Autoantibodies against glycine-associated synaptic proteins in stiff-person syndrome,Probst C.; Blocker I.-M.; Mindorf S.; Unger M.; Fechner K.; Meinck H.-M.; Balint B.; Stocker W.; Schlumberger W.; Komorowski L.,1028_Probst C. et al. - 2014 - Autoantibodies against glycine-associated synaptic.pdf,data\extraction_json\text\1028.json,data\extraction_json\text_trimmed_llm_candidates\1028.json,2,4,30,45,0,6,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 2 ordered end candidates. Baseline candidate quality: trimmed_auto.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,96,96 Autoantibodies against glycine-associated synaptic proteins in stiff-person syndrome,0.9939,0.75,0.9329,,,0,1,79,136,2,cand_02_last_non_metadata_end,cand_02_last_non_metadata_end,cand_01_tail_metadata_trim_end|cand_02_last_non_metadata_end,tail_metadata_trim_end|last_non_metadata_end,125|136,1|1,true,route_all_to_llm_v1,2026-04-12T22:16:51.308588+00:00
1112,1112,Practical management of stiff person syndrome in a limited resource setting-report of experiences in a two year follow-up,Siddi Ganie N.; Nichol R.; Janse Van Rensberg E.; Smit L.; Kruger A.; Nel M.; Lecuona E.,1112_Siddi Ganie-2015-Practical management of stiff.pdf,data\extraction_json\text\1112.json,data\extraction_json\text_trimmed_llm_candidates\1112.json,345,59,283,183,0,6,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 2 ordered end candidates. Baseline candidate quality: trimmed_auto.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,F1087,F1087 Practical management of stiff person syndrome in a limited resource setting – report of experiences in a two year follow-up,0.9915,1.0,0.9936,,,41,41,3221,3263,2,cand_01_current_selected_end,cand_02_tail_metadata_trim_end,cand_01_current_selected_end|cand_02_tail_metadata_trim_end,current_selected_end|tail_metadata_trim_end,3263|3304,41|42,true,route_all_to_llm_v1,2026-04-12T22:16:51.329330+00:00
1116,1116,Paediatric neurological syndromes associated with glycine receptor antibodies,Gadian J.; Hacohen Y.; Kariyawasam S.; Woodhall M.; Brilot F.; Pillai S.; Suleiman J.; Lascelles K.; Pike M.; Munot P.; Vincent A.; Dale R.C.; Lim M.,1116_Gadian - PIIS109037981530088X.pdf,data\extraction_json\text\1116.json,data\extraction_json\text_trimmed_llm_candidates\1116.json,1,3,12,12,0,4,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 1 ordered end candidates. Baseline candidate quality: trimmed_auto.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,OP87 - 3001,3001 Paediatric neurological syndromes associated with glycine receptor antibodies,0.989,1.0,0.9917,,,0,,83,125,1,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,tail_metadata_trim_end,125,0,true,route_all_to_llm_v1,2026-04-12T22:16:51.346256+00:00
1119,1119,Antibody spectrum in stiff person syndrome and related disorders,Balint B.; Blocker I.M.; Unger M.; Stocker W.; Probst C.; Komorowski L.; Meinck H.M.,1119_Balint B. et al. - 2015 - Antibody spectrum in stiff person syndrome and rel.pdf,data\extraction_json\text\1119.json,data\extraction_json\text_trimmed_llm_candidates\1119.json,567,80,418,220,0,6,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 1 ordered end candidates. Baseline candidate quality: trimmed_auto.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,670,670 Antibody spectrum in stiff person syndrome and related disorders,0.9894,0.8571,0.9563,,,262,262,29639,29685,1,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,tail_metadata_trim_end,29685,262,true,route_all_to_llm_v1,2026-04-12T22:16:51.395903+00:00
1138,1138,Stiff person syndrome: Review of 14 patients,Cavalcante V.; Souza Bulle Oliveira A.,1138_Cavalcante V. and Souza Bulle Oliveira A. - 2015 - Stiff person syndrome Review of 14 patients.pdf,data\extraction_json\text\1138.json,data\extraction_json\text_trimmed_llm_candidates\1138.json,1,6,11,20,1,8,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 2 ordered end candidates. Baseline candidate quality: trimmed_auto.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,,Stiff person syndrome: review of 14 patients,1.0,1.0,1.0,,,0,,58,92,2,cand_02_last_non_metadata_end,cand_02_last_non_metadata_end,cand_01_tail_metadata_trim_end|cand_02_last_non_metadata_end,tail_metadata_trim_end|last_non_metadata_end,91|92,0|0,true,route_all_to_llm_v1,2026-04-12T22:16:51.409740+00:00
1227,1227,Role of plasma exchange in stiff person syndrome,Albahra S.; Yates S.; Matevosyan K.; Sarode R.,1227_Albahra S. et al. - 2016 - Role of plasma exchange in stiff person syndrome.pdf,data\extraction_json\text\1227.json,data\extraction_json\text_trimmed_llm_candidates\1227.json,70,63,507,394,1,8,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 2 ordered end candidates. Baseline candidate quality: trimmed_auto.,page_local_sliding_window_match,page_local_sliding_window_match,77,ROLE OF PLASMA EXCHANGE IN STIFF PERSON SYNDROME,1.0,1.0,0.8843,backtrack_abstract_boundary,next_abstract_boundary,44,44,4995,5057,2,cand_01_current_selected_end,cand_02_tail_metadata_trim_end,cand_01_current_selected_end|cand_02_tail_metadata_trim_end,current_selected_end|tail_metadata_trim_end,5057|5128,44|45,true,route_all_to_llm_v1,2026-04-12T22:16:51.427634+00:00
1229,1229,Progressive encephalomyelitis with rigidity and myoclonus (PERM) associated with glycine receptor antibodies as first manifestation of hodgkin's lymphoma: A case report,Borellini L.; Lanfranconi S.; Trezzi I.; Franco G.; Di Fonzo A.; Bonato S.; Bresolin N.,1229_Borellini L. et al. - 2016 - Progressive encephalomyelitis with rigidity and my.pdf,data\extraction_json\text\1229.json,data\extraction_json\text_trimmed_llm_candidates\1229.json,234,66,291,232,1,8,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 2 ordered end candidates. Baseline candidate quality: trimmed_auto.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,P11168,P11168 Progressive encephalomyelitis with rigidity and myoclonus (PERM) associated with glycine receptor antibodies as first manifestation of Hodgkin’s lymphoma: a,0.8565,1.0,0.8924,,,79,79,6468,6512,2,cand_01_last_non_metadata_end,cand_02_tail_metadata_trim_end,cand_01_last_non_metadata_end|cand_02_tail_metadata_trim_end,last_non_metadata_end|tail_metadata_trim_end,6512|6517,79|80,true,route_all_to_llm_v1,2026-04-12T22:16:51.456702+00:00
1230,1230,Stiff Person Syndrome: A female case report with focal onset and multiple limb involvement,Vaz S.; Barros A.; Calado A.; Sequeira J.; Melancia D.; Fernandes A.,1230_Vaz S. et al. - 2016 - Stiff Person Syndrome A female case report with f.pdf,data\extraction_json\text\1230.json,data\extraction_json\text_trimmed_llm_candidates\1230.json,279,62,293,286,1,5,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 2 ordered end candidates. Baseline candidate quality: trimmed_auto.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,P32164,P32164 Stiff Person Syndrome: a female case report with focal onset and multiple limb involvement,0.9868,1.0,0.9901,,,228,228,18442,18485,2,cand_01_tail_metadata_trim_end,cand_02_last_non_metadata_end,cand_01_tail_metadata_trim_end|cand_02_last_non_metadata_end,tail_metadata_trim_end|last_non_metadata_end,18485|18486,228|228,true,route_all_to_llm_v1,2026-04-12T22:16:51.473747+00:00
